hex,token
0x0000,null
0x0001,>DMS
0x0002,>DEC
0x0003,>FRAC
0x0004,->
0x0005,Boxplot
0x0006,[
0x0007,]
0x0008,{
0x0009,}
0x000A,rad
0x000B,deg
0x000C,^-1
0x000D,^2
0x000E,transpose
0x000F,^3
0x0010,(
0x0011,)
0x0012,round(
0x0013,pxl-Test(
0x0014,augment(
0x0015,rowSwap(
0x0016,row+(
0x0017,*row(
0x0018,*row+(
0x0019,max(
0x001A,min(
0x001B,R>Pr(
0x001C,R>Ptheta
0x001D,P>Rx(
0x001E,P>Ry
0x001F,median(
0x0020,randM(
0x0021,mean(
0x0022,solve(
0x0023,seq(
0x0024,fnInt(
0x0025,nDeriv(
0x0027,fMin(
0x0028,fMax(
0x0029, 
